ingredient,qty,unit,portions_per_batch,notes
cream cheese,0.5,cup,8,cream cheese spread
shredded double gloucester or cheddar,0.5,cup,8,cream cheese spread
heavy cream,2,tbsp,8,cream cheese spread
coarse salt,0.25,tsp,8,cream cheese spread
mayonnaise,0.5,cup,8,garlic spread
garlic,0.75,tsp,8,garlic spread; minced
coarse salt,0.25,tsp,8,garlic spread
artisan bread slices,8,ea,8,sandwich
cheddar cheese slices,8,ea,8,sandwich
provolone slices,8,ea,8,sandwich
