ingredient,qty,unit,portions_per_batch,notes
beef cheeks,1,case,~16 qt,PDF p46
birria seasoning,150,g,~16 qt,(sub-recipe=qb_seasoning)
guajillo peppers,80,g,~16 qt,
white onion,4,ea,~16 qt,
garlic,200,g,~16 qt,
water,12,cup,~16 qt,
chicken base,16,oz,~16 qt,1 container
achiote,200,g,~16 qt,dissolve in chicken stock
