ingredient,qty,unit,portions_per_batch,notes
mayonnaise,9,cup,1,
bread and butter pickles,600,g,1,minced
shallot,6.5,cup,1,minced
capers,1.75,cup,1,minced
dill,40,g,1,minced
lemon juice,0.75,cup,1,
dijon mustard,0.75,cup,1,
black pepper,4,tbsp,1,
salt,2,tbsp,1,
tabasco,1,cup,1,
sugar,1,cup,1,
