ingredient,qty,unit,portions_per_batch,notes
shrimp,5,lb,~12 portions,head-off; add last (~3 min)
corn on the cob,12,ea,~12 portions,halved
red russet potatoes,4,lb,~12 portions,quartered; boil first (~15 min)
old bay seasoning,0.5,cup,~12 portions,season the water heavily
