ingredient,qty,unit,portions_per_batch,notes
parsley,20,g,1300 g,picked
picked thyme,10,g,1300 g,
picked tarragon,10,g,1300 g,
picked rosemary,10,g,1300 g,
lemon zest,3,ea,1300 g,zest of 3 lemons
garlic,50,g,1300 g,
salt,1200,g,1300 g,blend with half the salt; dry under lamp; add remaining salt after dried
