ingredient,qty,unit,portions_per_batch,notes
tomatoes,2,case,~22 qt,blackened on char grill; PDF p8
cilantro,8,bunch,~22 qt,
jalapenos,2,qt,~22 qt,destemmed; fresh
yellow onions,6,ea,~22 qt,halved; blackened in salamander
kosher salt,1,cup,~22 qt,
minced garlic,1.5,cup,~22 qt,fresh
