ingredient,qty,unit,portions_per_batch,notes
baked ziti,1,hotel pan,1 menu,sub-recipe — main entree (≈ 24 portions per pan). SOURCE: in-house
caprese skewers,50,ea,1 menu,sub-recipe — passed app. SOURCE: in-house
artisanal board,1,portion,1 menu,sub-recipe — italian-style cured meats + cheeses. SOURCE: in-house
ciabatta loaf,4,ea,1 menu,sliced; warmed; service-side. confirm bread vendor + count. chef_approved 2026-04-28 sburdges
salted butter,8,oz,1 menu,for bread service. optional swap for olive oil + balsamic dish. chef_approved 2026-04-28 sburdges
mixed greens,2,lb,1 menu,for accompanying salad. confirm dressing — likely lemon_thyme_vinaigrette sub-recipe. chef_approved 2026-04-28 sburdges
parmesan reggiano,8,oz,1 menu,grated; tableside. chef_approved 2026-04-28 sburdges
