ingredient,qty,unit,portions_per_batch,notes
sweet corn kernels,2,qt,1,
cooked black beans,1,qt,1,
diced red onion,0.5,cup,1,
diced bell pepper,1,cup,1,
jalapenos,4,ea,1,seeded and diced
cilantro,1,bunch,1,chopped
minced garlic,2,tbsp,1,
lime juice,0.5,cup,1,
red wine vinegar,2,tbsp,1,
red chili flakes,0.5,tbsp,1,
cumin,1,tbsp,1,
kosher salt,1,tbsp,1,
olive oil,2,tbsp,1,
