ingredient,qty,unit,portions_per_batch,notes
hardboiled eggs (sysco),24,ea,~48 halves,Vendor whole-buy pre-hardboiled; seasoned in-house
mayo,1,cup,~48 halves,standard filling base
yellow mustard,2,tbsp,~48 halves,
paprika,1,tsp,~48 halves,dust before service
salt,1,tsp,~48 halves,refine to house formula
pepper,0.5,tsp,~48 halves,refine to house formula
