ingredient,qty,unit,portions_per_batch,notes
ziti noodles,2,lb,~1 hotel pan,dry — boil al dente
marinara sauce,2,qt,~1 hotel pan,(sub-recipe)
tomato sauce,1,qt,~1 hotel pan,canned — layer base
ricotta cheese,2,lb,~1 hotel pan,whole milk
mozzarella shredded,1.5,lb,~1 hotel pan,low-moisture
parmesan grated,0.5,cup,~1 hotel pan,finish
basil fresh,0.25,cup,~1 hotel pan,garnish
thyme fresh,2,tsp,~1 hotel pan,fold in at layering
