ingredient,qty,unit,portions_per_batch,notes
tomato sauce,1,gal,~4 qt,canned
basil fresh,0.5,cup,~4 qt,chiffonade — add at finish
thyme fresh,1,tbsp,~4 qt,leaves only
garlic cloves,8,ea,~4 qt,minced
