ingredient,qty,unit,portions_per_batch,notes
heavy cream,3,qt,~22 qt,
whole milk,2,gal,~22 qt,
american cheese block,20,lb,~22 qt,4 ea 5lb blocks
shredded cheddar,10,lb,~22 qt,2 ea 5lb bags
lariat rub,1.5,cup,~22 qt,(sub-recipe)
green chile,8,qt,~22 qt,(sub-recipe)
blackened salsa,2,qt,~22 qt,(sub-recipe)
