ingredient,qty,unit,portions_per_batch,notes
mae ploy sweet chili sauce,1,bottle,1,
soy sauce,0.25,cup,1,
honey,0.25,cup,1,
furikake seasoning,0.25,cup,1,
sriracha,0.25,cup,1,
