ingredient,qty,unit,portions_per_batch,notes
corn tortillas,50,ea,50 ea,4.5 in white corn — MISSION FOODS 6x50 CT. One per taco; warm on the flat top
cotija cheese,25,oz,50 ea,crumbled — QUESO CAMPESINO random cut 12x1#AVG. Half an ounce per taco
