ingredient,qty,unit,portions_per_batch,notes
large white onions,4,ea,1,
jalapenos,8,ea,1,half deveined/deseeded
garlic cloves,20,ea,1,
whole tomatillos,3,#10 can,1,
salt,3,tbsp,1,
pepper,3,tbsp,1,
cumin,2,tsp,1,
lime juice,0.5,cup,1,zested and juiced
agave,1,tbsp,1,
green chile,0.333,cup,1,
avocado,8,ea,1,
