ingredient,qty,unit,portions_per_batch,notes
bacon lard,900,g,~2 qt,
cayenne,3.5,tbsp,~2 qt,
lariat rub,3.5,tbsp,~2 qt,(sub-recipe)
bread and butter pickle juice,5.25,cup,~2 qt,
