ingredient,qty,unit,portions_per_batch,notes
cherry tomatoes,6,lb,1 pan (1/3 hotel; 6" deep),packed to fill the pan. SOURCE: in-house
fresh thyme,1,sprig,1 pan (1/3 hotel; 6" deep),SOURCE: in-house
garlic,100,g,1 pan (1/3 hotel; 6" deep),peeled cloves. SOURCE: in-house
extra-virgin olive oil,1,qt,1 pan (1/3 hotel; 6" deep),to cover; bake low + slow until tomatoes burst. SOURCE: in-house
