ingredient,qty,unit,portions_per_batch,notes
cavatappi pasta,5,lb,1 hotel pan,PASTA LABELLA 100% durum semolina 2x10 LB — dry weight per pan
panko,8,oz,1 hotel pan,toasted Japanese panko — browning crust; brown under the salamander
