ingredient,qty,unit,portions_per_batch,notes
tomatoes,10,cup,1,diced
red onion,2,cup,1,diced
jalapeno,7,ea,1,diced
garlic,0.5,cup,1,minced
cilantro,1,cup,1,
lime juice,3,cup,1,
salt,2,tbsp,1,to taste — baseline for 4 qt batch
pepper,1,tbsp,1,to taste — baseline for 4 qt batch
