ingredient,qty,unit,portions_per_batch,notes
corndog batter,4,qt,~50 dogs,made in-house — scratch batter per DATA.purchase (flour + cornmeal + sugar + buttermilk + baking soda). Flat line: corndog_batter.csv was deleted 2026-09-05 because its quantities could not be reconciled against the book. Contains WHEAT and MILK
hot dogs,50,ea,~50 dogs,standard 4:1 beef/pork dogs; skewer before battering
bamboo skewers 6in,50,ea,~50 dogs,
honey mustard,1,qt,~50 dogs,(sub-recipe=honey_mustard)
