ingredient,qty,unit,portions_per_batch,notes
tex mex egg rolls (vendor whole-buy),1,case,~50 ea,Vendor whole-buy frozen — fry from frozen; SKU via purchase history
chipotle aioli,1,qt,~50 ea,(sub-recipe=chipotle_aioli)
