ingredient,qty,unit,portions_per_batch,notes
ap flour,17,cup,1,
cornmeal,12,cup,1,
sugar,4,cup,1,
salt,3,cup,1,
baking soda,0.333,cup,1,
pepper,0.5,cup,1,
buttermilk,8,qt,1,add until proper batter consistency — baseline
