ingredient,qty,unit,portions_per_batch,notes
garlic cloves,8,ea,1,
parsley,3,cup,1,
cilantro,3,cup,1,
buttermilk,1,qt,1,
mayonnaise,1,qt,1,
sour cream,1,qt,1,
lemons,8,ea,1,zest and juice
olive oil,4,tbsp,1,
bleu cheese crumbles,2,cup,1,half blended on high then remaining on low
salt,,,1,to taste
pepper,,,1,to taste
