ingredient,qty,unit,portions_per_batch,notes
cornbread mixture,2,box,~2 pans,
butter,1.15,lb,~2 pans,browned
buttermilk,14.75,cup,~2 pans,
cheddar cheese,3.5,cup,~2 pans,
jalapeno,3.5,cup,~2 pans,diced
