ingredient,qty,unit,portions_per_batch,notes
fish brine,0.25,qt,1 ea,(sub-recipe=fish_brine) — 7 min soak portion of batch
beer batter,75,g,1 ea,(sub-recipe=beer_batter) — wet batter for one order
chipotle aioli,0.1,qt,1 ea,(sub-recipe=chipotle_aioli)
mexi slaw,0.25,lb,1 ea,(sub-recipe=mexi_slaw)
pico de gallo,0.125,qt,1 ea,(sub-recipe=pico_de_gallo)
aji verde,0.05,qt,1 ea,(sub-recipe=aji_verde) — grilled option / drizzle
flour tortilla,3,ea,1 ea,warmed
catfish fillet,6,oz,1 ea,beer-battered or grilled
