ingredient,qty,unit,portions_per_batch,notes
cilantro,1200,g,~3.2 qt,PDF p25
lime juice,600,g,~3.2 qt,
mayonnaise,600,g,~3.2 qt,
garlic,200,g,~3.2 qt,
salt,40,g,~3.2 qt,
olive oil,150,g,~3.2 qt,extra virgin
jalapeno,500,g,~3.2 qt,deveined and deseeded
