ingredient,qty,unit,portions_per_batch,notes
anchovy,5,ea,~2 qt,minced
capers,1,tbsp,~2 qt,
dijon mustard,0.75,cup,~2 qt,
lime juice,0.25,cup,~2 qt,
chipotle puree,0.75,cup,~2 qt,
mayonnaise,3.5,cup,~2 qt,
garlic,0.5,cup,~2 qt,minced
cilantro,1,cup,~2 qt,minced
