ingredient,qty,unit,portions_per_batch,notes
ap flour,18,kg,22 qt,
kosher salt,1.5,cup,22 qt,
black pepper,2,cup,22 qt,
paprika,1,cup,22 qt,
onion powder,1.5,cup,22 qt,
garlic powder,1.5,cup,22 qt,
