ingredient,qty,unit,portions_per_batch,notes
crab cakes frozen (vendor whole-buy),1,case,~24 cakes,Vendor whole-buy — fry from frozen; SKU via purchase history
remoulade sauce,1,qt,~24 cakes,mayo + capers + cornichons + Dijon + lemon — house or Sysco Newburg-style
