ingredient,qty,unit,portions_per_batch,notes
mayonnaise,9,cup,~4 qt,
ketchup,1.5,cup,~4 qt,
mustard,1.5,cup,~4 qt,
onion powder,0.5,cup,~4 qt,
garlic powder,0.5,cup,~4 qt,
paprika,0.5,cup,~4 qt,
white sugar,0.5,cup,~4 qt,
apple cider vinegar,1,cup,~4 qt,
