ingredient,qty,unit,portions_per_batch,notes
mayonnaise,1,gal,~1.5 gal,PDF p26
horseradish,0.5,cup,~1.5 gal,
dijon mustard,0.5,cup,~1.5 gal,
apple cider vinegar,1,cup,~1.5 gal,
lemon juice,1,cup,~1.5 gal,
granulated garlic,2,tbsp,~1.5 gal,
brown sugar,3,cup,~1.5 gal,dissolve in apple cider vin if solidified
cayenne,0.5,tbsp,~1.5 gal,
kosher salt,1,tsp,~1.5 gal,
black pepper,1,tsp,~1.5 gal,
