ingredient,qty,unit,portions_per_batch,notes
pork belly,5,lb,~30 bao,braise until tender then sear; slice to fit bao
hoisin sauce,1,cup,~30 bao,glaze + dipping
sesame oil,0.25,cup,~30 bao,finish
sesame seed,0.25,cup,~30 bao,toasted; sprinkle
bao buns (sysco),30,ea,~30 bao,Vendor whole-buy — steam to serve
