ingredient,qty,unit,portions_per_batch,notes
water,2.5,qt,1,
vinegar,1,qt,1,
salt,0.25,cup,1,
sugar,1,cup,1,
red pepper,20,g,1,
garlic,100,g,1,crushed
dill,30,g,1,
