ingredient,qty,unit,portions_per_batch,notes
pepitas,5,lb,~6 qt,
kosher salt,0.25,cup,~6 qt,
chili powder,1,tbsp,~6 qt,
cumin,0.5,tbsp,~6 qt,
oil,0.25,cup,~6 qt,
lime juice,0.25,cup,~6 qt,
