ingredient,qty,unit,portions_per_batch,notes
mozzarella ciliegine,2,lb,~50 skewers,small fresh mozzarella balls
cherry tomatoes,2,lb,~50 skewers,
basil fresh,1,bunch,~50 skewers,leaves only
prosciutto,1,lb,~50 skewers,torn pieces
bamboo skewers 6in,50,ea,~50 skewers,
