ingredient,qty,unit,portions_per_batch,notes
pudding vanilla base (shamrock/sysco),1,can,~12 portions,Shamrock "PUDDING VANILLA 112Z CAN" + Sysco "Cls Pudding Vanilla Ztf" — vendor whole-buy base
bananas,6,ea,~12 portions,ripe but firm — slice at service
vanilla wafers,1,box,~12 portions,layer between pudding and bananas
whipped cream,1,qt,~12 portions,top before service
