ingredient,qty,unit,portions_per_batch,notes
bacon,15,lb,10 qt / 25 lb,diced
yellow onions,10,ea,10 qt / 25 lb,diced
orange juice,1,qt,10 qt / 25 lb,
brown sugar,4,lb,10 qt / 25 lb,
lariat rub,0.5,cup,10 qt / 25 lb,(sub-recipe)
