ingredient,qty,unit,portions_per_batch,notes
redbird chicken legs,1,case,1 case,
green salt,50,g,1 case,(sub-recipe) — amount est., confirm
rosemary,1,sprig,1 case,
thyme,1,sprig,1 case,
garlic cloves,8,ea,1 case,
olive oil,1,cup,1 case,amount est., confirm
