ingredient,qty,unit,portions_per_batch,notes
salt,1.75,cup,~6 cups,kosher
paprika,18,tbsp,~6 cups,= 1 1/8 cup
garlic powder,0.75,cup,~6 cups,
onion powder,0.75,cup,~6 cups,
pepper,0.25,cup,~6 cups,black
turbinado sugar,0.75,cup,~6 cups,
cayenne,4,tbsp,~6 cups,
cumin,4,tbsp,~6 cups,
