0,1,2,3,4,5,6
Garlic Puree,1,cup,cup,1,,
,,,,,,
,,,,,,
Roasted Pepitas,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Pepitas,5,lbs,lbs,5,,1. Oil pepitas.
Kosher Salt,0.25,cup,cup,0.25,,2. Combine with lime juice/season mix.
Chili Powder,1,tbsp,tbsp,1,,3. Spread evenly across lined baking pan.
Cumin,0.5,tbsp,tbsp,0.5,,4. Roast @500°F for approx 30 mins.
Oil,0.25,cup,cup,0.25,,
Lime Juice,0.25,cup,cup,0.25,,
,,,,,,
,,,,,,
Santa Fe Caesar Dressing,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Minced Anchovy,5,ea,ea,5,,"1. Combine mustard, lime juice, chipotle, mayo, garlic, cilantro, anchovy, capers in blender."
Capers,1,tbsp,tbsp,1,,2. Blend while gradually incorporating EVOO until emulsified.
Dijon Mustard,0.75,cup,cup,0.75,,
Lime Juice,0.25,cup,cup,0.25,,
Chipotle Puree,0.75,cup,cup,0.75,,
Mayo,3.5,cup,cup,3.5,,
Minced Garlic,0.5,cup,cup,0.5,,
Minced Cilantro,1,cup,cup,1,,
,,,,,,
,,,,,,
Nashville Oil,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Bacon Lard,900,g,g,900,,1. Melt bacon lard until liquified.
Cayenne,3.5,tbsp,tbsp,3.5,,2. Add seasonings and whisk.
Lariat Rub,3.5,tbsp,tbsp,3.5,,3. REMOVE FROM HEAT SOURCE.
Bread & Butter Pickle Juice,5.25,cup,cup,5.25,,4. Let cool (maintaining liquid form).
,,,,,,5. Incorporate bread & butter pickle juice.
,,,,,,
,,,,,,
Tartar Sauce,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Mayo,9,cup,cup,9,,1. Whisk all ingredients together until well combined.
Minced B&B Pickles,600,g,g,600,,
Minced Shallot,6.5,cup,cup,6.5,,
Minced Caper,1.75,cup,cup,1.75,,
Minced Dill,40,g,g,40,,
Lemon Juice,0.75,cup,cup,0.75,,
Dijon Mustard,0.75,cup,cup,0.75,,
Black Pepper,4,tbsp,tbsp,4,,
Salt,2,tbsp,tbsp,2,,
Tabasco,1,cup,cup,1,,
Sugar,1,cup,cup,1,,
,,,,,,
,,,,,,
Beer Batter,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Guinness,550,g,g,550,,1. Disperse vodka/stout mix into bowl.
Vodka,50,g,g,50,,2. Incorporate flour gradually (DRY to WET).
Cake Flour,17,cup,cup,17,,"3. Whisk until smooth, runs off whisk."
Salt,0.5,cup,cup,0.5,,
Baking Soda,0.333333333333333,cup,cup,0.333333333333333,,
,,,,,,
,,,,,,
Corndog Batter,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
