sku,ingredient,pack_size,pack_unit,sysco_net_wt_lb,tare_lb,verified_net_weight_g,source,verified
6833545,Napkin Dinner 16 Inch X 16 Inch Finesse Flat,1000,CT,19.25,,,sysco_catalog,false
2102038,Pick Sandwich Bamboo Knot 4 Inch,1000,CT,0.82,,,sysco_catalog,false
2102509,"Skewer Bamboo 6"" Inch",10000,CT,12.74,,,sysco_catalog,false
7075202,Straw Paper Unwrapped 6 Inch Black Cocktail,2500,CT,5.539,,,sysco_catalog,false
8095107,Straw Plastic Unwrapped Jumbo Black 7.75 Inch,6000,CT,6.085,,,sysco_catalog,false
4471223,Tape Paper Regular Thermal 3-1/8 Inch,50,EA,26.0,,,sysco_catalog,false
4458772,Tissue Toilet 3.8 Inch X 4 Inch Wrapped 2 Ply,44000,CT,31.35,,,sysco_catalog,false
7091706,Towel Multifold 1 Ply White,4000,CT,14.25,,,sysco_catalog,false
4108936,Towel Multifold Advanced White 2-ply,3024,CT,14.818,,,sysco_catalog,false
1007350,Avocado Hass Breaking Fresh,48,CT,21.883,,,sysco_catalog,false
9230970,Avocado Hass Breaking Fresh #2,48,CT,20.0,,,sysco_catalog,false
1070879,Avocado Hass Fresh,24,CT,15.0,,,sysco_catalog,false
1120625,Celery Fresh,24,CT,64.0,,,sysco_catalog,false
1121169,Celery Fresh,36,CT,59.0,,,sysco_catalog,false
1048248,Cilantro Bunch Fresh,6,CT,2.5,,,sysco_catalog,false
7078475,Cilantro Bunch Iceless,30,CT,8.0,2.0,2722,user-measured 2026-04-04,true
9903289,Cilantro Fresh Iceless,60,CT,16.0,,,sysco_catalog,false
6915979,Corn Cob Sweet Bicolor Fresh,48,CT,44.0,,,sysco_catalog,false
6368823,Corn White Fresh,48,CT,29.05,,,sysco_catalog,false
7134591,Cucumber English Medium Seedless 12 Count,12,CT,12.0,,,sysco_catalog,false
2252039,Lemon Choice Fresh,140,CT,40.0,,,sysco_catalog,false
2252013,Lemon Choice Fresh,115,CT,40.0,,,sysco_catalog,false
1675909,Lettuce Greens Leaf Fresh,24,CT,23.85,,,sysco_catalog,false
1723857,Lettuce Greens Leaf Fresh With Liner,24,CT,25.0,,,sysco_catalog,false
1675891,Lettuce Romaine Fresh,24,CT,35.625,,,sysco_catalog,false
3855251,Melon Watermelon Seedless Fresh,2,CT,35.0,,,sysco_catalog,false
9068305,Melon Watermelon Seedless Fresh,4,CT,70.0,,,sysco_catalog,false
7651910,Oranges Fancy Fresh,88,CT,40.0,,,sysco_catalog,false
1908359,Parsley Bunch Foodservice,12,CT,16.0,,,sysco_catalog,false
1008630,Tomato 1 Layer 5x6,30,CT,10.0,,,sysco_catalog,false
1008663,Tomato 2 Layer 5x6 Fresh,60,CT,20.0,,,sysco_catalog,false
3787967,Crab Cake Mini Claw,75,CT,4.68,,,sysco_catalog,false
5793963,"Grill Brick 3.5"" Thick",12,EA,7.0,,,sysco_catalog,false
1376805,"Pad Scour Green 6"" X 9"" Antimicrobial",20,CT,1.4,,,sysco_catalog,false
5793831,Pad Scrub Stainless Steel 35 Gram 1.25 Ounce,72,CT,7.35,,,sysco_catalog,false
1110895,Scraper Grill Stainless Steel Blade,1,EA,3.0,,,sysco_catalog,false
4518304,Spoon Bouillon Windsor Medium-weight,36,CT,22.9,,,sysco_catalog,false
7798832,Squeegee Floor 22 Inch Blue,1,EA,0.438,,,sysco_catalog,false
